id,niche,naics,sector,why_boring,boring_score,us_establishments,estab_year,estab_source_url,share_under_20_employees,share_source_url,n_tools_search_verified,n_tools_candidate_unverified,n_tools_public_price_url,fragmentation_score,max_headcount_bonus,provisional_evidence_score,ad_longevity_score,research_status,notes
148,Cosmetology & barber schools,611511,61,"State-board hour tracking, attendance, Title IV paperwork",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 15 query ran
149,Flight schools,611512,61,"Aircraft/instructor scheduling, FAA logbooks, dispatch",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 15 query ran
150,Tutoring centers,611691,61,"Session scheduling, progress reports, billing",3,unverified,unverified,unverified,unverified,unverified,0,0,0,unverified,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No research performed: session WebSearch budget exhausted before any batch 15 query ran
151,Golf courses (independent / municipal),713910,71,"Tee sheets, memberships, F&B, tournaments",3,unverified,unverified,unverified,unverified,unverified,0,6,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),unverified (search budget exhausted; no WebSearch performed)
152,Bowling centers,713950,71,"Lane reservations, leagues, parties",3,unverified,unverified,unverified,unverified,unverified,0,5,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),unverified (search budget exhausted; no WebSearch performed)
153,Campgrounds & RV parks,721211,72,"Reservations, site maps, seasonal contracts",3,unverified,unverified,unverified,unverified,unverified,0,7,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),unverified (search budget exhausted; no WebSearch performed)
154,Bed & breakfasts and small inns,721191,72,"Reservations, channel management, housekeeping",3,unverified,unverified,unverified,unverified,unverified,0,6,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),unverified (search budget exhausted; no WebSearch performed)
155,Hunting & fishing outfitters and guides,713990,71,"Trip booking, licenses/permits, waivers",3,unverified,unverified,unverified,unverified,unverified,0,5,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),unverified (search budget exhausted; no WebSearch performed)
156,Boutique fitness & yoga studios,713940,71,"Class scheduling, memberships, waivers",2,unverified,unverified,unverified,unverified,unverified,0,7,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),unverified (search budget exhausted; no WebSearch performed)
157,Horse boarding & riding stables,713990,71,"Board billing, lesson scheduling, vet/farrier logs",3,unverified,unverified,unverified,unverified,unverified,0,3,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),unverified (search budget exhausted; no WebSearch performed)
158,Wedding & event venues,531120,53,"Tours, contracts, deposits, vendor coordination",3,unverified,unverified,unverified,unverified,unverified,0,7,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),unverified (search budget exhausted; no WebSearch performed)
159,Photographers & photo booth operators,541921,54,"Booking, contracts, galleries, invoicing",3,unverified,unverified,unverified,unverified,unverified,0,7,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),unverified (search budget exhausted; no WebSearch performed)
160,Uniform & linen rental services,812331,81,"Route delivery, garment tracking, contract billing",3,unverified,unverified,unverified,unverified,unverified,0,4,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),unverified (search budget exhausted; no WebSearch performed)
